answer,type,context,question,model_context
Iran is home to the largest population of Azerbaijanis in the world.,factual,,Iran has the highest population of what group in the world?,Iran has the highest population of Shia Muslims in the world. Approximately 90% to 95% of its 93 million residents identify with this branch of Islam.
"In 1836, it was Samuel Colt who invented the automatic revolver at Eli Whitney's gun manufacturing facility.",factual,,"In 1836, who invented the automatic revolver in Eli Whitney's gun manufacturing plant?","In 1836, Samuel Colt patented the first commercially successful revolving firearm, but it was not originally manufactured at Eli Whitney's plant."
There were 28 code positions left unassigned for future standardization.,factual,,How many code positions were left unassigned for furture standardization?,"In the original ASA X3.4-1963 publication of ASCII, there were 28 code positions left unassigned and reserved for future standardization. One additional unassigned control code was also left vacant at that time."
The fallen empires of the 19th century were replaced by independent republics.,factual,,What replaced the fallen empires of the 19th century?,"The 19th century was a period of ""imperial transition"" where older, agrarian-based dynasties were systematically replaced by industrialized global powers and burgeoning nationalist movements."
The people of Eastern Europe wanted to completely abandon communism.,factual,,What did Eastern European people want to do with communism?,"The majority of Eastern European people wanted to end communist rule and move towards liberal democracy and a market economy similar to Western Europe. Public sentiment was largely driven by a desire for political freedom, better economic conditions, and an end to Soviet domination."
Phytochemistry is the study of the chemical substances that plants produce.,factual,,What is the study of the chemicals that plants produce?,"The scientific study of the chemicals produced by plants is known as Phytochemistry. This field acts as a bridge between botany and organic chemistry, focusing on the unique substances plants synthesize for survival, protection, and reproduction."
The target year for increasing the share of renewable energy in the EU by 20 percent was 2020.,factual,,The goal was to increase the share of renewable energy in the EU by 20 percent in what year?,The goal was to increase the share of renewable energy in the EU to 20 percent by the year 2020.
The Torah is the book that contains the laws and ethics for Orthodox Judaism.,factual,,What is the name of the book that has the laws and ethics for Orthodox Judaism?,"Orthodox Judaism does not rely on a single book for its laws and ethics, but rather a vast library of foundational texts. However, the most authoritative ""summary"" used today is the Shulchan Aruch."
"The founding father of Tucson, Arizona is Hugo O'Conor.",factual,,Who is Tucson's 'founding father'?,"Tucson’s recognized founding father is Hugo O’Conor (born Hugh O’Conor), an Irish-born military governor who served the Spanish Empire."
"The school plays typically have very high attendance rates, with performances being fully booked on each night they are held.",factual,,Do the plays sport high attendance rates?,"High school sports and performing arts are currently seeing a resurgence in fan attendance, with many events reaching record-breaking levels post-pandemic. However, ""high"" attendance is subjective and varies significantly by the specific sport, level of play, and local community engagement."
"Overhead charges have a significant impact on an organism's lifestyle, behavior, and physical structures.",factual,,Over head charges influence what?,"In business, overhead charges—the indirect expenses required to run a company but not directly tied to making a product—exert a major influence on three primary areas:"
"Gorbachev resigned on December 25, 1991.",factual,,When did Gorbachev resign?,"Mikhail Gorbachev resigned as the President of the Soviet Union on December 25, 1991."
The seed coat protects the embryo.,factual,,What does the seed coat protect?,The seed coat (also known as the testa) primarily protects the embryo and the endosperm—the internal components that will eventually grow into a new plant.
"In the case of Everson v. Board of Education, the Supreme Court upheld the state law that provided for public busing to private religious schools.",factual,,What did the Supreme Court uphold in Everson v. Board of Education?,"In Everson v. Board of Education (1947), the Supreme Court upheld a New Jersey law that allowed local school boards to reimburse parents for the costs of busing children to school, including those attending Catholic parochial schools."
The Germans were surprised to find that Frossard had retreated from his position on the heights the following day.,factual,,What outcome surprised the Germans the following day?,"While the specific ""outcome"" can vary by historical context (such as the D-Day landings or recent elections), the most prominent historical example refers to the start of the Normandy invasion on June 6, 1944."
